case,genus,seed,mode,passed,certified,registration_success,initial_dense_rmse_median_edges,final_dense_rmse_median_edges,dense_improvement_fraction,initial_landmark_rmse_median_edges,final_landmark_rmse_median_edges,initial_curvature_rmse,final_curvature_rmse,flow_replay_max_error
official_genus5,5,11,combined,True,True,False,0.21213804745294026,0.21440886389201183,-0.01070442792481777,0.18272157666555275,0.14136335437827421,0.6594869137747552,0.6005171301278495,6.208759259556274e-17
official_genus5,5,11,curvature,True,True,False,0.21213804745294026,0.22510390829914628,-0.061119921682518126,0.18272157666555275,0.21474322481823852,0.6594869137747552,0.5960607976584495,6.359601310784502e-17
official_genus5,5,11,landmark,True,True,True,0.21213804745294026,0.19101678288618532,0.0995637737800919,0.18272157666555275,0.009363817598344192,0.6594869137747552,0.6639141522838812,5.763878168445254e-17
official_genus5,5,29,combined,True,True,True,0.20433715174553702,0.20251749696358848,0.008905158784901564,0.16174499424489255,0.11564168733868975,0.6821787407780979,0.6176253233919016,6.245004513516506e-17
official_genus5,5,29,curvature,True,True,False,0.20433715174553702,0.21160996000070478,-0.035592197468939296,0.16174499424489255,0.18153479293794092,0.6821787407780979,0.6140169688965399,9.71445146547012e-17
official_genus5,5,29,landmark,True,True,True,0.20433715174553702,0.18691490883305809,0.08526223823543859,0.16174499424489255,0.008969348904050526,0.6821787407780979,0.6799783909763648,6.359601310784502e-17
official_pretzel_genus3,3,3,combined,True,True,True,0.23415919653548856,0.23334466389965644,0.0034785421537293923,0.2127279867781912,0.05749640084293204,2.5240403924541486,2.476879609043439,1.1210126175528405e-16
official_pretzel_genus3,3,3,curvature,True,True,False,0.23415919653548856,0.26673845573493954,-0.1391329475052814,0.2127279867781912,0.2684671876854576,2.5240403924541486,2.4362391518219937,1.1444245688649702e-16
official_pretzel_genus3,3,3,landmark,True,True,True,0.23415919653548856,0.21694011373973676,0.07353579552081405,0.2127279867781912,0.01450053136549515,2.5240403924541486,2.525989013312927,3.3993498887762956e-17
official_pretzel_genus3,3,11,combined,True,True,True,0.23567830173852133,0.23276416729493798,0.012364882223296434,0.2532413244899423,0.09201708232064072,2.53059062982174,2.4741508488034567,5.745575946153046e-17
official_pretzel_genus3,3,11,curvature,True,True,False,0.23567830173852133,0.26223239319887987,-0.11267092160999873,0.2532413244899423,0.29880648286685346,2.53059062982174,2.4442256862710297,6.245004513516506e-17
official_pretzel_genus3,3,11,landmark,True,True,True,0.23567830173852133,0.21438576062046813,0.09034578474549891,0.2532413244899423,0.012440071452680933,2.53059062982174,2.533639480941962,1.666869782356258e-16
official_pretzel_genus3,3,29,combined,True,True,False,0.1835417589832655,0.18939727682255125,-0.03190291883287251,0.2034338379408161,0.04915489773095129,2.5239131901162524,2.4720478245532544,7.850582081053154e-17
official_pretzel_genus3,3,29,curvature,True,True,False,0.1835417589832655,0.22825785828630238,-0.24362902235841546,0.2034338379408161,0.25232036959519877,2.5239131901162524,2.433296274380546,1.144399917027668e-16
official_pretzel_genus3,3,29,landmark,True,True,True,0.1835417589832655,0.16630687223231833,0.0939017194039127,0.2034338379408161,0.010214645332691799,2.5239131901162524,2.5244987242393147,1.1188630228279524e-16
