source_receipt,research_question,task,N,control_vertex_count,face_count,resolution,image,optimizer,steps,lr,threshold,seed,target_strength,host,device,dtype,commit,backend,backend_class,status,failure_type,failure_message,reason,target_identity_check,target_summary_group_size,target_setup_seconds,target_setup_primal_solves,run_target_setup_seconds,run_target_setup_solves,initial_objective,final_objective,best_objective,primal_solves,adjoint_solves,global_solves,evaluations_to_threshold,global_solves_to_threshold,wall_seconds_to_threshold,wall_seconds,wrapper_wall_seconds,trace_available,trace_evaluations,forward_seconds_total,backward_seconds_total,optimizer_seconds_total,audit_seconds_total,timed_components_seconds_total,rss_before_bytes,rss_after_bytes,process_hwm_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,gpu_baseline_allocated_bytes,gpu_baseline_reserved_bytes,all_iterates_certified,trace_all_certified,trace_max_flip_count,trace_minimum_area_ratio,inverse_consistency,threshold_semantics,solver_settings,warp_convention,memory_semantics,final_flip_count,final_minimum_signed_area,final_minimum_area_ratio,final_boundary_order_min_gap,final_global_injectivity_certificate,final_map_rmse,final_maximum_map_error,final_mu_rmse,final_maximum_mu_error,target_flip_count,target_minimum_signed_area,target_minimum_area_ratio,target_boundary_order_min_gap,target_global_injectivity_certificate,target_map_rmse,target_maximum_map_error,target_mu_rmse,target_maximum_mu_error,target_control_shape,target_dense_shape,target_control_sum,target_dense_sum,target_control_l2,target_dense_l2
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_512_cpu.json,I1 supervised fitting,supervised_map,25,625,1152,512,,adam,40,0.03,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,2,0.5612674979493022,1,0.0,0,0.00282102869823575,4.522539893514477e-05,3.171070056851022e-05,41,40,81,28,55,5.664376065135002,8.181003756122664,8.721726038958877,True,41,5.993036338593811,1.0331062062177807,0.01938013848848641,1.131630911724642,8.17715359502472,606007296,703668224,737497088,,,,,True,True,0,0.3715889100123553,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005015979444905618,0.577840832053127,0.030770957469940186,True,0.010276027309726493,0.0342088643803678,0.138664759204545,0.5798825606488908,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[512, 512, 2]",580.4999867373481,242904.3340009163,19.303759504911586,390.6510611993895
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_512_cpu.json,I1 supervised fitting,supervised_map,25,625,1152,512,,adam,40,0.03,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,,failure,KrylovConvergenceError,BiCGStab did not converge within 500 iterations,,not_recorded,2,0.5612674979493022,1,,,,,,,,,,,,,11.841253559105098,False,,,,,,,,,,,,,,,,,,,,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",,,,,,,,,,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[512, 512, 2]",580.4999867373481,242904.3340009163,19.303759504911586,390.6510611993895
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_512_cpu.json,I1 supervised fitting,supervised_map,25,625,1152,512,,adam,40,0.03,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,2,0.5612674979493022,1,0.0,0,0.0028193306643515825,2.3979047909961082e-05,2.30895329877967e-05,41,40,81,17,33,4.311416222946718,10.622851548949257,10.80172072397545,True,41,7.31038264837116,2.2490286470856518,0.016147570684552193,1.0438744032289833,10.619433269370347,708169728,708300800,745861120,,,,,True,True,0,0.564598867445282,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.000560735467148633,0.6459672581552255,0.027608096599578857,True,0.007855519248526238,0.030129492689617676,0.1237599864520897,0.4295154793630129,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[512, 512, 2]",580.4999867373481,242904.3340009163,19.303759504911586,390.6510611993895
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n17_256_cpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,lbfgs,5,0.8,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,4,0.3258642521686852,1,0.0,0,0.001743502332828939,3.420149369048886e-05,3.420149369048886e-05,31,30,61,14,27,1.2613777259830385,2.614473668159917,3.1068674938287586,True,31,1.877000096719712,0.3336607392411679,0.01860236469656229,0.3849571612663567,2.614220361923799,599429120,696549376,696549376,,,,,True,True,0,0.6608267224382871,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0012906771922622795,0.6608267224382871,0.04626476764678955,True,0.009897449938815821,0.025084042811555202,0.12599314329190975,0.3825490483030689,0,0.000998234038994238,0.5110958279650498,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.191974080866,13.47448125368723,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n17_256_cpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,lbfgs,5,0.8,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,,failure,KrylovConvergenceError,BiCGStab breakdown in alpha denominator,,not_recorded,4,0.3258642521686852,1,,,,,,,,,,,,,0.2887463509105146,False,,,,,,,,,,,,,,,,,,,,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",,,,,,,,,,0,0.000998234038994238,0.5110958279650498,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.191974080866,13.47448125368723,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n17_256_cpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,lbfgs,5,0.8,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,4,0.3258642521686852,1,0.0,0,0.001743474742397666,6.968867819523439e-05,6.968867819523439e-05,31,30,61,26,51,2.719766659894958,3.2512379228137434,3.300141994142905,True,31,2.2752390059176832,0.5993765138555318,0.01778393960557878,0.35861100163310766,3.2510104610119015,694288384,694403072,698736640,,,,,True,True,0,0.5427632345854363,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0010600844425496803,0.5427632345854363,0.03809797763824463,True,0.013599469887978435,0.03464807426275984,0.14174573988748732,0.36139587922129673,0,0.000998234038994238,0.5110958279650498,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.191974080866,13.47448125368723,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n25_256_cpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,lbfgs,5,0.8,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,direct,DirectTutteLayer,success,,,,matched,4,0.48009376088157296,1,0.0,0,0.0028184461407363415,4.2618125007720664e-05,4.2618125007720664e-05,31,30,61,18,35,3.124625706812367,5.225936299888417,5.69860987807624,True,31,4.0082780960947275,0.3370271094609052,0.020987301599234343,0.8593451224733144,5.2256376296281815,600002560,699650048,699650048,,,,,True,True,0,0.6984324025732036,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":null,""internal_arithmetic"":""float64"",""max_iterations"":null,""relative_tolerance"":null,""variant"":""SuperLU factorization; two-coordinate RHS; reused transpose factor""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0006150801447130656,0.7085723267094522,0.030627906322479248,True,0.010056197145806555,0.026573120009340204,0.1457247203961386,0.3999254743283507,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.4430756013098
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n25_256_cpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,lbfgs,5,0.8,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,,failure,KrylovConvergenceError,BiCGStab breakdown in alpha denominator,,not_recorded,4,0.48009376088157296,1,,,,,,,,,,,,,1.0611877900082618,False,,,,,,,,,,,,,,,,,,,,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",,,,,,,,,,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.4430756013098
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n25_256_cpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,lbfgs,5,0.8,0.0001,20260922,0.25,turing,cpu,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,4,0.48009376088157296,1,0.0,0,0.002816754626110196,0.00020153979130554944,0.00020153979130554944,31,30,61,,,,6.784867358859628,6.866035558981821,True,31,4.856187452329323,1.1270019703079015,0.01766689750365913,0.783789190929383,6.784645511070266,704151552,704258048,704258048,,,,,True,True,0,0.5873170307303206,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005098238113978477,0.5873170307303206,0.027745181694626808,True,0.02121429814240335,0.056207216012945156,0.16842258519086098,0.4118798766901518,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.4430756013098
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_checkerboard_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,checkerboard,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,10,0.22287405654788017,1,0.0,0,0.2577870190143585,0.10827157646417618,0.10827157646417618,41,40,81,,,,19.968561355024576,20.43981158360839,True,41,11.811295367777348,7.04137659817934,0.08873461559414864,1.009513821452856,19.950920403003693,581197824,1290493952,1290493952,15698432,27262976,0,0,True,True,0,0.20948552433696932,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.00021063857509773302,0.2426556385125882,0.03386408090591431,True,0.07730468107789075,0.2475406424380805,0.3141293254773587,0.8686044387275154,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_checkerboard_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,checkerboard,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,10,0.22287405654788017,1,0.0,0,0.2575072944164276,0.011241503059864044,0.011241503059864044,41,40,81,,,,10.037437435239553,10.125624291598797,True,41,6.906456038355827,2.093363121151924,0.03251213580369949,0.9907508417963982,10.02308213710785,1290493952,1296244736,1303977984,15660544,27262976,0,0,True,True,0,0.5931780228510193,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005149114781692881,0.5931780228510193,0.03199410438537598,True,0.007104434450326717,0.024295529749142064,0.13256498249975035,0.4999402045161894,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n17_256_gpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,4,0.0974307656288147,1,0.0,0,0.0040799290873110294,0.00033505671308375895,0.00033505671308375895,41,40,81,22,43,6.583357863128185,12.068507548421621,12.495626479387283,True,41,6.9252351969480515,4.618526391685009,0.0675753727555275,0.44748635962605476,12.058823321014643,579563520,1285492736,1285492736,15607296,27262976,0,0,True,True,0,0.5465492956691378,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.001377338465384348,0.7051972942767861,0.053653329610824585,True,0.018628522788818838,0.06023396210721599,0.14637982615147963,0.40733084007233256,0,0.0011091489322158168,0.5678842532944982,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769698
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n17_256_gpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,4,0.0974307656288147,1,0.0,0,0.004083104897290468,6.059832958271727e-05,5.67005954508204e-05,41,40,81,9,17,1.0398439578711987,4.9865180887281895,5.042382016777992,True,41,3.248486202210188,1.2711865454912186,0.014465972781181335,0.44575977325439453,4.979898493736982,1285492736,1302380544,1302380544,15590400,27262976,0,0,True,True,0,0.6029782082109704,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0011776918129120515,0.6029782082109704,0.052950263023376465,True,0.01841842362800989,0.06746448399072691,0.14110610030970216,0.39854091718903595,0,0.0011091489322158168,0.5678842532944982,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769698
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,10,0.23668024316430092,1,0.0,0,0.010225502774119377,0.0005245554493740201,0.0004699824203271419,41,40,81,25,49,12.208718553185463,20.03692878037691,20.503190211951733,True,41,11.37937906011939,7.529947862029076,0.0631742924451828,1.0537079311907291,20.026209145784378,582246400,1293467648,1293467648,15698432,27262976,0,0,True,True,0,0.5390506252721963,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0004976517103311153,0.5732947703014446,0.03389391303062439,True,0.024267625284249836,0.08205163192908876,0.16457406757882995,0.5699086090694505,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,10,0.23668024316430092,1,0.0,0,0.010210670530796051,0.00013555583427660167,0.00013555583427660167,41,40,81,18,35,4.32373945787549,10.011167220771313,10.100778229534626,True,41,6.915438283234835,1.993276983499527,0.021224509924650192,1.0720858536660671,10.002025630325079,1293467648,1311928320,1311928320,15660544,27262976,0,0,True,True,0,0.6686592565544642,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0005832398993375063,0.6718923640368075,0.03672289848327637,True,0.027452577590293986,0.09810788643519991,0.16910887209863645,0.4852810618214691,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_512_gpu.json,I2 image registration,image_registration,25,625,1152,512,medical_phantom,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,2,0.3062758408486843,1,0.0,0,0.010352686047554016,0.0008287696982733905,0.0008287696982733905,41,40,81,33,65,15.510234218090773,19.312075063586235,19.89230701327324,True,41,10.96955981478095,7.257427629083395,0.06995344161987305,1.0040713846683502,19.30101227015257,586375168,1290784768,1290784768,63303168,85983232,0,0,True,True,0,0.4850983615070002,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.00047918295854731973,0.5520187682465121,0.03138154745101929,True,0.02583435708945888,0.08362603418873205,0.16672749674054702,0.5562396482113724,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[512, 512, 2]",611.298547235479,255793.24585458037,20.29414436631711,410.68266397442335
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_adam_n25_512_gpu.json,I2 image registration,image_registration,25,625,1152,512,medical_phantom,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,2,0.3062758408486843,1,0.0,0,0.010339389555156231,0.00016330208745785058,0.0001292603847105056,41,40,81,18,35,4.0877350233495235,9.423193797469139,9.600137114524841,True,41,6.5564204677939415,1.8371069766581059,0.016423765569925308,1.006461925804615,9.416413135826588,1290784768,1298284544,1334116352,63265280,85983232,0,0,True,True,0,0.6630338765265549,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.000575550240040412,0.6630338765265549,0.03666597604751587,True,0.02850921364969308,0.10072314453284853,0.1698207263363482,0.49420446562824044,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[512, 512, 2]",611.298547235479,255793.24585458037,20.29414436631711,410.68266397442335
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_lbfgs_n17_256_gpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,lbfgs,5,0.8,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,4,0.12434321641921997,1,0.0,0,0.0040799290873110294,0.00016913024592213333,0.00016913024592213333,35,34,69,14,27,4.331187821924686,10.137346185743809,10.571486193686724,True,35,5.688207894563675,3.957659289240837,0.10339585319161415,0.387585062533617,10.136848099529743,580145152,1256886272,1256886272,24308224,48234496,0,0,True,True,0,0.7845220282301852,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0015322695863870806,0.7845220282301852,0.05629372596740723,True,0.015856670324104323,0.05551194942109705,0.1324190646808668,0.3408295368776592,0,0.0011091489322158168,0.5678842532944982,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769698
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_lbfgs_n17_256_gpu.json,I2 image registration,image_registration,17,289,512,256,medical_phantom,lbfgs,5,0.8,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,4,0.12434321641921997,1,0.0,0,0.004083103500306606,0.0001411906850989908,0.00014119033585302532,34,33,67,15,29,1.762441921979189,4.055924359709024,4.111483089625835,True,34,2.6782706938683987,0.9619234390556812,0.04176526516675949,0.3736298829317093,4.055589281022549,1256886272,1261441024,1268649984,24222720,48234496,8519680,20971520,True,True,0,0.48421823426394894,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,"RSS approximate asynchronous snapshots; HWM process lifetime, not cross-snapshot bound; GPU allocator peaks include per-run setup; shared target setup is excluded",0,0.0012452817136932026,0.6375842374109197,0.04517555236816406,True,0.01984755810451609,0.0680513513231854,0.13879623512888292,0.33954165646307294,0,0.0011091489322158168,0.5678842532944982,0.03941225951550742,True,,,,,"[289, 2]","[256, 256, 2]",290.73834597363134,65959.63533512043,14.164829740697744,210.35672382769698
